Numéro de la cellule,Centre de la cellule,Surface
37,"(854.2442067736185, 1009.0196078431372)",561
1,"(58.01292175161522, 26.175879396984925)",1393
2,"(143.55083459787556, 67.7701062215478)",2636
3,"(219.23495906016376, 147.88608045567818)",2809
4,"(11.752740560292326, 151.88915956151035)",821
5,"(89.54748603351955, 149.77856780091417)",1969
6,"(633.4449564772145, 276.9231950844854)",1953
7,"(174.9266304347826, 323.54619565217394)",1104
8,"(232.0909090909091, 358.67178276269186)",847
9,"(116.75915221579962, 413.2928709055877)",1038
10,"(190.49825174825176, 432.3557692307692)",1144
11,"(595.0333745364647, 434.19901112484547)",1618
12,"(383.40658362989325, 451.3202846975089)",1124
13,"(466.40688437775816, 451.8393645189762)",1133
14,"(59.62395754359363, 469.05155420773315)",1319
15,"(462.3875765529309, 501.40682414698165)",1143
16,"(570.1491961414791, 513.0180064308681)",1555
17,"(1.0, 519.0)",33
18,"(498.61737218251784, 600.6008796041781)",1819
19,"(789.9373996789727, 592.7271268057785)",623
20,"(592.214915797915, 614.3977546110666)",1247
21,"(738.9915164369035, 616.0286320254506)",943
22,"(75.96599362380447, 648.0712008501594)",941
23,"(673.11875, 702.86875)",160
24,"(765.5222088835534, 729.1188475390156)",1666
25,"(94.94566473988439, 736.8046242774567)",865
26,"(204.704932735426, 764.0349775784754)",1115
27,"(857.3376690946931, 768.6415192507804)",1922
28,"(702.3321779318313, 802.4344309647603)",1731
29,"(143.42038946162657, 839.1340206185567)",873
30,"(768.5515021459228, 878.6781115879828)",932
31,"(468.85464155929964, 890.8404360753221)",3027
32,"(838.963224893918, 901.1909476661951)",707
33,"(67.17076167076166, 908.8673218673218)",814
34,"(621.8730450781969, 943.7157313707452)",1087
35,"(20.175380542686963, 977.2600926538717)",1511
36,"(728.750346740638, 967.3509015256589)",721
37,"(297.0, 996.0)",25
38,"(856.6748582230624, 1011.0661625708884)",529
1,"(59.084981684981685, 24.90989010989011)",1365
2,"(143.45784081954295, 67.60756501182033)",2538
3,"(218.02443754848719, 144.66873545384018)",2578
4,"(12.61397479954181, 149.57846506300115)",873
5,"(90.15264293419634, 147.88942826321468)",1854
6,"(637.8327037236913, 262.2547220723152)",1853
7,"(174.80128794848207, 322.92916283348666)",1087
8,"(232.62145499383476, 357.16646115906286)",811
9,"(115.96361848574237, 413.0835791543756)",1017
10,"(596.6130592503023, 431.3240628778718)",1654
11,"(192.0555050045496, 431.44676979071886)",1099
12,"(382.4899635036496, 450.5903284671533)",1096
13,"(466.0832562442183, 449.91211840888064)",1081
14,"(58.629457364341086, 467.6674418604651)",1290
15,"(461.79264844486335, 500.48444863336476)",1061
16,"(569.7676056338029, 510.3098591549296)",1420
17,"(1.0, 517.0)",39
18,"(495.39334341906203, 575.428139183056)",661
19,"(788.4041204437401, 590.2995245641838)",631
20,"(593.0619088564058, 612.097162510748)",1163
21,"(745.7685534591195, 606.5358490566038)",795
22,"(502.71835443037975, 618.0221518987341)",948
23,"(77.18107833163785, 648.2634791454731)",983
24,"(673.0802469135803, 700.9382716049382)",162
25,"(765.9525015832805, 728.5269157694744)",1579
26,"(93.85, 735.8846153846154)",780
27,"(854.1283280085197, 764.108626198083)",1878
28,"(206.20705244122965, 762.370705244123)",1106
29,"(703.8053316800992, 800.6286422814632)",1613
30,"(145.91084337349398, 839.1915662650603)",830
31,"(767.822247706422, 877.5883027522935)",872
32,"(470.22570640937283, 889.4975878704341)",2902
33,"(842.9909502262443, 900.6289592760181)",663
34,"(67.47201017811705, 906.9681933842239)",786
35,"(626.3315118397086, 938.8087431693989)",1098
36,"(19.997968855788763, 975.2220717670955)",1477
37,"(727.7701149425287, 966.9392446633826)",609
38,"(289.5, 995.5)",36
39,"(861.3278350515463, 1012.9876288659793)",485
1,"(60.04748201438849, 25.0431654676259)",1390
2,"(144.9182087342709, 68.83049592894153)",2702
3,"(217.59338521400778, 145.32217898832684)",2570
4,"(12.78587962962963, 150.3101851851852)",864
5,"(90.38932089165371, 149.37065837221357)",1929
6,"(640.6748166259168, 251.6479217603912)",2045
7,"(175.09575429087624, 325.55103884372176)",1107
8,"(232.1323706377858, 357.74007220216606)",831
9,"(115.43907156673114, 414.0531914893617)",1034
10,"(600.7534324942792, 431.0446224256293)",1748
11,"(192.8883116883117, 433.20346320346323)",1155
12,"(462.11715481171547, 448.63284518828453)",956
13,"(381.3796548592189, 451.97366030881017)",1101
14,"(57.8109146810146, 469.5426594926979)",1301
15,"(493.55555555555554, 468.3333333333333)",45
16,"(460.63603275705185, 501.0646041856233)",1099
17,"(568.47265625, 508.4427083333333)",1536
18,"(2.1012658227848102, 520.0)",79
19,"(494.87673130193906, 574.8060941828255)",722
20,"(788.2468944099379, 590.8773291925465)",644
21,"(594.39177852349, 612.3322147651006)",1192
22,"(750.0572625698323, 599.3784916201117)",716
23,"(505.1217750257998, 620.0866873065015)",969
24,"(78.03626943005182, 650.419689119171)",965
25,"(671.9090909090909, 704.0430622009569)",209
26,"(766.2048549437537, 730.2137359384251)",1689
27,"(94.80917874396135, 735.4589371980676)",828
28,"(852.0767250257467, 761.5962924819773)",1942
29,"(207.1408573928259, 763.3805774278215)",1143
30,"(704.2324068598463, 801.893554109994)",1691
31,"(146.97780373831776, 840.2266355140187)",856
32,"(771.5188284518829, 873.9926778242677)",956
33,"(472.11506205971153, 891.6222744045622)",2981
34,"(845.4906204906205, 902.5916305916306)",693
35,"(68.59600997506234, 907.5049875311721)",802
36,"(629.03808680248, 939.1381753764393)",1129
37,"(20.229529335912314, 976.4480980012895)",1551
38,"(730.3301204819277, 969.722891566265)",830
39,"(861.1144708423326, 1013.1879049676025)",463
1,"(62.925714285714285, 23.407857142857143)",1400
2,"(145.21870554765292, 67.48541963015647)",2812
3,"(217.79702776691434, 143.48572545952288)",2557
4,"(12.831868131868132, 148.26703296703297)",910
5,"(89.84481878509443, 147.61357835630423)",1959
6,"(639.89375, 222.3715909090909)",1760
7,"(176.05417406749555, 326.16873889875666)",1126
8,"(233.1770956316411, 356.07556080283354)",847
9,"(115.22770398481974, 412.8320683111954)",1054
10,"(604.9184665226782, 430.64686825053997)",1852
11,"(193.49799518845228, 432.22373696872495)",1247
12,"(468.6812447434819, 449.8839360807401)",1189
13,"(380.94459582198004, 451.32515894641233)",1101
14,"(57.39879608728367, 471.10684725357413)",1329
15,"(565.5389294403893, 506.05535279805355)",1644
16,"(463.36297640653356, 502.8003629764065)",1102
17,"(2.2482758620689656, 519.6689655172414)",145
18,"(495.2461964038728, 573.8284923928078)",723
19,"(780.3924977127173, 595.4007319304666)",1093
20,"(725.5540540540541, 594.7792792792793)",666
21,"(595.6224899598394, 611.873092369478)",1245
22,"(508.9692937563971, 620.8884339815762)",977
23,"(83.22088353413655, 651.6586345381526)",996
24,"(672.2796208530806, 703.8199052132701)",211
25,"(765.9298561151079, 728.6019184652279)",1668
26,"(97.48617511520737, 732.5380184331797)",868
27,"(852.8264503441494, 759.4346116027532)",2034
28,"(207.86952789699572, 762.5596566523606)",1165
29,"(704.2657342657343, 802.2768065268066)",1716
30,"(148.68351648351648, 837.7758241758241)",910
31,"(771.2299306243806, 875.5649157581764)",1009
32,"(472.71561626823967, 891.1040049674015)",3221
33,"(848.4044630404463, 903.5732217573221)",717
34,"(72.65824308062575, 906.23706377858)",831
35,"(645.2394160583941, 933.2160583941605)",685
36,"(612.0831408775981, 949.9076212471132)",433
37,"(23.145764937623113, 974.3282994090611)",1523
38,"(733.7267441860465, 969.6732558139535)",860
39,"(862.6582809224319, 1012.8679245283018)",477
1,"(64.0909090909091, 21.62727272727273)",1320
2,"(143.481245576787, 67.78591648973814)",2826
3,"(217.13328106624854, 144.03998431987455)",2551
4,"(13.527272727272727, 148.23957219251338)",935
5,"(88.00814176245211, 148.1264367816092)",2088
6,"(618.7599078341013, 210.24377880184332)",2170
7,"(175.05364995602463, 326.1407211961302)",1137
8,"(233.72479240806643, 355.7627520759193)",843
9,"(114.50769230769231, 412.5201923076923)",1040
10,"(607.7245604688333, 432.3180607352158)",1877
11,"(191.50904799370574, 431.43036978756885)",1271
12,"(466.12579762989975, 448.3573381950775)",1097
13,"(380.306868867083, 453.46476360392506)",1121
14,"(54.45383411580595, 470.4569640062598)",1278
15,"(495.0, 468.0)",35
16,"(563.1207932692307, 504.0847355769231)",1664
17,"(469.3151219512195, 504.52780487804876)",1025
18,"(2.7743589743589743, 524.4820512820513)",195
19,"(493.05686546463244, 572.004160887656)",721
20,"(787.5221674876848, 587.8768472906404)",609
21,"(595.7251370399374, 610.5317149569303)",1277
22,"(731.9545454545455, 605.7045454545455)",132
23,"(761.8174097664544, 616.6900212314225)",471
24,"(510.8063492063492, 622.6074074074074)",945
25,"(88.31084776663629, 653.5788514129443)",1097
26,"(1022.0, 684.5)",30
27,"(673.0588235294117, 703.2016806722689)",119
28,"(764.9670394349617, 728.1542083578576)",1699
29,"(98.24660633484163, 731.7861990950227)",884
30,"(855.6128230616303, 761.5899602385686)",2012
31,"(206.4785123966942, 762.3553719008264)",1210
32,"(702.9137276180141, 803.8893109061313)",1843
33,"(148.98814655172413, 836.8135775862069)",928
34,"(771.1497227356747, 871.8123844731978)",1082
35,"(473.087158808933, 892.2261166253102)",3224
36,"(210.0, 882.0)",25
37,"(849.2956989247311, 905.108870967742)",744
38,"(74.58998808104887, 904.6150178784267)",839
39,"(653.3604651162791, 936.2950581395348)",688
40,"(612.1688888888889, 950.72)",450
41,"(24.879856115107913, 976.9)",1390
42,"(738.6837988826816, 970.9754189944134)",895
43,"(861.6541666666667, 1012.7041666666667)",480
1,"(66.95887096774193, 20.175)",1240
2,"(144.44460028050491, 66.26437587657784)",2852
3,"(216.51409017713365, 143.22544283413848)",2484
4,"(13.259935553168637, 146.0)",931
5,"(88.6289614822038, 149.35982447586542)",2051
6,"(609.64459049545, 203.09605662285136)",1978
7,"(174.08246527777777, 324.57465277777777)",1152
8,"(234.15303738317758, 356.8411214953271)",856
9,"(114.296786389414, 412.5302457466919)",1058
10,"(610.479347826087, 433.30597826086955)",1840
11,"(191.66229508196722, 432.57295081967214)",1220
12,"(468.8865721434529, 450.1050875729775)",1199
13,"(381.31358249772103, 453.70373746581583)",1097
14,"(52.60080971659919, 468.9263157894737)",1235
15,"(560.4510423247, 501.5173720783323)",1583
16,"(469.810101010101, 504.520202020202)",990
17,"(490.485549132948, 569.4552023121387)",692
18,"(26.546341463414635, 577.8926829268293)",1025
19,"(786.9438943894389, 585.3894389438943)",606
20,"(595.8803149606299, 608.4937007874016)",1270
21,"(730.7331081081081, 611.1925675675676)",296
22,"(511.3289760348584, 621.5283224400871)",918
23,"(755.7803921568627, 625.1882352941177)",255
24,"(91.41768579492003, 653.0940733772343)",1063
25,"(1020.9655172413793, 681.7701149425287)",87
26,"(673.9453125, 703.140625)",128
27,"(765.331778425656, 727.4256559766764)",1715
28,"(98.15517241379311, 731.9264367816091)",870
29,"(857.9593253968254, 762.3635912698413)",2016
30,"(207.23645320197045, 762.1535303776683)",1218
31,"(702.5145348837209, 802.7023255813954)",1720
32,"(148.98781838316722, 836.3709856035438)",903
33,"(771.2320596458527, 866.1901211556384)",1073
34,"(473.39794967381175, 891.493010251631)",3219
35,"(210.42857142857142, 879.5714285714286)",35
36,"(77.60265700483092, 900.1437198067633)",828
37,"(850.3725761772853, 904.8808864265928)",722
38,"(663.5289982425307, 936.4323374340948)",569
39,"(612.2098501070664, 948.8543897216274)",467
40,"(26.314564564564563, 975.7027027027027)",1332
41,"(737.3480725623583, 971.5589569160998)",882
42,"(859.9774774774775, 1013.5675675675676)",444
1,"(70.34939759036145, 18.94750430292599)",1162
2,"(145.47235444891982, 66.52911021603808)",2731
3,"(215.18513257575756, 143.70833333333334)",2112
4,"(14.093509350935093, 147.12651265126513)",909
5,"(88.84890549919915, 151.92952482648158)",1873
6,"(594.2545260915867, 197.03940362087326)",1878
7,"(174.587967183227, 323.0948040109389)",1097
8,"(234.20468557336622, 358.56103575832304)",811
9,"(113.98217821782178, 413.56435643564356)",1010
10,"(613.2480386240193, 434.7483403741702)",1657
11,"(193.37927844588344, 434.3903792784459)",1081
12,"(464.72808988764046, 448.27752808988765)",890
13,"(382.91037260825783, 456.0956696878147)",993
14,"(51.383846794338055, 470.729392173189)",1201
15,"(558.504854368932, 501.0339805825243)",1442
16,"(471.27367205542726, 503.9145496535797)",866
17,"(491.51084812623276, 569.396449704142)",507
18,"(786.2906793048974, 584.257503949447)",633
19,"(56.0, 587.9959016393443)",488
20,"(596.875106202209, 608.8895497026338)",1177
21,"(729.5693641618498, 611.9306358381502)",346
22,"(510.4907063197026, 622.2688971499381)",807
23,"(756.8299319727892, 629.1156462585034)",294
24,"(95.83720930232558, 658.0949612403101)",1032
25,"(1020.92, 680.38)",100
26,"(674.0731707317074, 705.2032520325204)",123
27,"(766.7808483290488, 730.9691516709512)",1556
28,"(98.63337547408344, 732.2073324905183)",791
29,"(861.2058061171591, 764.5603939865215)",1929
30,"(210.45884413309983, 762.7915936952714)",1142
31,"(705.200625, 803.6425)",1600
32,"(149.03473945409428, 836.3920595533499)",806
33,"(770.7620817843866, 866.2862453531599)",807
34,"(472.36130913804277, 893.5184705119897)",3086
35,"(79.46153846153847, 896.203026481715)",793
36,"(851.8636363636364, 904.1607142857143)",616
37,"(677.7682291666666, 934.2604166666666)",384
38,"(611.5561497326203, 952.427807486631)",374
39,"(28.678661087866107, 976.3539748953975)",1195
40,"(735.1042584434655, 972.4772393538914)",681
41,"(855.945054945055, 1016.7289377289377)",273
1,"(71.4092219020173, 16.20268972142171)",1041
2,"(1.0, 21.5)",18
3,"(146.27822286962856, 67.25564457392571)",2746
4,"(217.19764705882352, 142.3350588235294)",2125
5,"(14.89507494646681, 148.28158458244113)",934
6,"(90.04567699836868, 151.2963567156063)",1839
7,"(591.9168356997972, 197.52586206896552)",1972
8,"(175.11514052583863, 322.57116953762466)",1103
9,"(232.86111111111111, 359.25)",828
10,"(112.92892892892893, 412.9229229229229)",999
11,"(613.6836428999401, 433.9982025164769)",1669
12,"(192.85241502683363, 433.9499105545617)",1118
13,"(464.76104190260475, 447.4065685164213)",883
14,"(383.8613963039014, 456.8275154004107)",974
15,"(49.11092577147623, 470.2418682235196)",1199
16,"(558.2557046979866, 498.96778523489934)",1490
17,"(472.7537572254335, 500.46127167630056)",865
18,"(489.744537815126, 567.5394957983193)",595
19,"(55.65638297872341, 600.5212765957447)",940
20,"(785.7071742313324, 590.0043923865301)",683
21,"(597.1793339026473, 609.6874466268147)",1171
22,"(729.4580152671756, 613.5623409669212)",393
23,"(509.4474358974359, 623.7141025641025)",780
24,"(754.8819875776397, 632.9875776397515)",322
25,"(94.50504201680673, 660.0168067226891)",1190
26,"(1020.6573426573426, 677.4825174825174)",143
27,"(673.9685039370079, 704.8188976377953)",127
28,"(767.9648600357356, 737.1923764145324)",1679
29,"(99.82390745501286, 732.6966580976864)",778
30,"(857.7334384858044, 763.4942166140904)",1902
31,"(199.3515406162465, 793.2878151260504)",1428
32,"(706.3632911392405, 800.8227848101266)",1580
33,"(149.51381909547737, 835.5979899497487)",796
34,"(773.9032697547684, 861.216621253406)",734
35,"(471.4731078904992, 894.3330112721417)",3105
36,"(81.48651960784314, 892.8210784313726)",816
37,"(853.3333333333334, 902.1895734597157)",633
38,"(682.8845360824743, 926.9381443298969)",485
39,"(610.1129411764706, 951.7270588235294)",425
40,"(29.133877551020408, 976.3444897959183)",1225
41,"(738.2214580467676, 971.4154057771665)",727
42,"(854.1570680628272, 1018.7486910994764)",191
1,"(73.14543630892678, 14.408224674022065)",997
2,"(1.7142857142857142, 18.5)",42
3,"(145.7247326664367, 67.26215936529837)",2899
4,"(217.58465728551974, 141.32546527462551)",2203
5,"(15.644398766700926, 148.22096608427543)",973
6,"(91.22752953261428, 150.59527478171546)",1947
7,"(592.0506741050674, 202.20176662017667)",2151
8,"(174.286731967943, 323.61353517364205)",1123
9,"(232.85868263473054, 357.38922155688624)",835
10,"(113.29863813229572, 412.3968871595331)",1028
11,"(614.8294434470376, 432.5637342908438)",1671
12,"(191.84318766066838, 433.07797772065123)",1167
13,"(464.77742616033754, 447.6276371308017)",948
14,"(383.23464249748235, 454.8539778449144)",993
15,"(46.46601941747573, 471.1343042071197)",1236
16,"(557.5263157894736, 497.9653401797176)",1558
17,"(475.3337004405286, 500.0726872246696)",908
18,"(490.97118644067797, 567.5135593220339)",590
19,"(773.9968051118211, 588.761980830671)",626
20,"(50.76903973509934, 605.9122516556291)",1208
21,"(596.0107973421927, 610.5074750830565)",1204
22,"(728.2124711316397, 611.6789838337182)",433
23,"(510.6497175141243, 623.8644067796611)",885
24,"(753.4540059347181, 633.6498516320474)",337
25,"(1018.1291208791209, 673.1813186813187)",364
26,"(84.86351351351351, 687.7216216216216)",740
27,"(674.4362416107383, 704.5637583892617)",149
28,"(766.9019963702359, 732.1990320629159)",1653
29,"(101.88657105606258, 734.6114732724902)",767
30,"(855.7483552631579, 764.7757675438596)",1824
31,"(705.0361228175798, 801.7441300421433)",1661
32,"(198.00559552358112, 799.4620303756994)",1251
33,"(148.97337962962962, 832.480324074074)",864
34,"(775.082175925926, 856.2858796296297)",864
35,"(471.43239987955434, 894.3577235772358)",3321
36,"(83.12865497076024, 890.2304093567251)",855
37,"(211.0, 881.0)",25
38,"(854.2755102040817, 901.5160349854227)",686
39,"(681.4172661870504, 923.6564748201439)",556
40,"(607.0824524312897, 950.0021141649048)",473
41,"(30.807114624505928, 975.9438735177865)",1265
42,"(742.6131479140329, 970.6687737041719)",791
43,"(850.535593220339, 1016.5559322033898)",295
1,"(75.67994505494505, 11.614010989010989)",728
2,"(3.0617283950617282, 20.987654320987655)",81
3,"(145.53393351800554, 66.87915512465374)",2888
4,"(215.959902200489, 139.5643031784841)",2045
5,"(15.410844629822732, 147.563086548488)",959
6,"(90.33096446700507, 149.205076142132)",1970
7,"(591.759587020649, 207.84464110127826)",2034
8,"(173.3958891867739, 323.26899016979445)",1119
9,"(232.83668639053255, 357.16449704142013)",845
10,"(113.1924927815207, 411.3330125120308)",1039
11,"(617.4885630498534, 430.39765395894426)",1705
12,"(191.3160577740017, 431.750212404418)",1177
13,"(465.6185567010309, 448.04432989690724)",970
14,"(383.24875124875126, 453.45754245754244)",1001
15,"(43.25540432345877, 471.4139311449159)",1249
16,"(556.8733459357278, 496.78890989287964)",1587
17,"(478.62389380530976, 497.76659292035396)",904
18,"(492.3811965811966, 567.0290598290599)",585
19,"(759.4177215189874, 567.1930379746835)",316
20,"(40.56, 601.5848648648648)",925
21,"(596.0414551607445, 608.9813874788495)",1182
22,"(786.0224089635855, 594.4677871148459)",357
23,"(724.9264367816091, 610.751724137931)",435
24,"(511.19607843137254, 622.8581314878893)",867
25,"(752.9378378378378, 632.8108108108108)",370
26,"(1015.7976366322009, 667.9586410635155)",677
27,"(80.11016949152543, 691.2415254237288)",944
28,"(768.2432610124918, 717.1354372123603)",1521
29,"(673.1698113207547, 704.4905660377359)",106
30,"(100.02102496714849, 733.73061760841)",761
31,"(856.375796178344, 763.6844683978442)",2041
32,"(702.0114045618247, 801.3667466986794)",1666
33,"(197.26954921803127, 803.4857405703772)",1087
34,"(146.784, 831.5314285714286)",875
35,"(773.4460141271443, 856.0151362260343)",991
36,"(470.80463182897864, 893.9465558194775)",3368
37,"(85.10894495412845, 887.5905963302753)",872
38,"(855.1446629213483, 900.4817415730337)",712
39,"(680.051993067591, 922.6100519930676)",577
40,"(608.1323828920571, 948.6476578411406)",491
41,"(31.367851622874806, 975.5741885625966)",1294
42,"(742.1407942238267, 971.1131167268352)",831
43,"(851.9877450980392, 1014.3235294117648)",408
1,"(78.45718232044199, 12.970994475138122)",724
2,"(2.2142857142857144, 23.553571428571427)",56
3,"(143.81301939058173, 67.59141274238227)",2888
4,"(210.40978593272172, 140.59388379204893)",1635
5,"(14.51335656213705, 148.40185830429732)",861
6,"(89.2845615922539, 150.3362022592792)",1859
7,"(587.8420047732697, 218.10453460620525)",2095
8,"(170.58834244080145, 324.3014571948998)",1098
9,"(233.26412776412778, 357.9017199017199)",814
10,"(111.94565217391305, 412.9130434782609)",1012
11,"(616.23276904474, 428.53808948004837)",1654
12,"(191.3, 432.7157894736842)",1140
13,"(463.9275653923541, 450.30382293762574)",994
14,"(380.5502702702703, 453.70054054054054)",925
15,"(39.447168216398985, 477.74218089602704)",1183
16,"(554.6877607788596, 497.39777468706535)",1438
17,"(480.39593301435406, 498.7799043062201)",836
18,"(492.2117202268431, 567.7315689981097)",529
19,"(769.0149253731344, 571.8159203980099)",201
20,"(25.105263157894736, 583.6)",95
21,"(594.0435897435898, 608.4059829059829)",1170
22,"(726.3201856148492, 608.4733178654292)",431
23,"(782.0, 596.0)",25
24,"(52.226579520697165, 618.0152505446623)",459
25,"(508.27096774193546, 622.8709677419355)",775
26,"(753.5333333333333, 631.5472222222222)",360
27,"(1013.9009324009324, 664.5664335664336)",858
28,"(89.0218878248974, 681.1381668946649)",731
29,"(776.4689745264533, 708.3755715218812)",1531
30,"(671.9318181818181, 705.9659090909091)",88
31,"(101.33860342555995, 738.4255599472991)",759
32,"(857.319842053307, 763.8573543928924)",2026
33,"(701.4808777429467, 803.6495297805643)",1595
34,"(193.71256281407034, 808.1798994974874)",995
35,"(143.61153846153846, 832.9589743589744)",780
36,"(770.9709497206704, 860.2804469273743)",895
37,"(84.29976019184652, 887.6247002398081)",834
38,"(468.03466583385386, 895.5065584009993)",3202
39,"(853.7853881278539, 901.1643835616438)",657
40,"(678.2948275862069, 924.403448275862)",580
41,"(606.5650224215246, 948.9394618834081)",446
42,"(30.901771336553946, 976.3832528180354)",1242
43,"(737.5173745173745, 972.1325611325611)",777
44,"(854.2551546391752, 1014.4896907216495)",388
1,"(76.80714285714286, 12.61)",700
2,"(3.5596330275229358, 23.623853211009173)",109
3,"(142.85693641618496, 66.03251445086705)",2768
4,"(210.3483535528596, 136.67533217793184)",1731
5,"(14.555307262569832, 145.66703910614524)",895
6,"(87.79955580233204, 149.15880066629651)",1801
7,"(576.6591173054587, 240.3391405342625)",1722
8,"(169.74127126230977, 322.44315129812)",1117
9,"(232.5721393034826, 356.4042288557214)",804
10,"(110.983, 412.435)",1000
11,"(617.127962085308, 425.68483412322274)",1688
12,"(190.39099099099099, 431.7018018018018)",1110
13,"(462.64082969432314, 450.2980349344978)",916
14,"(379.2423245614035, 452.922149122807)",912
15,"(35.4412017167382, 477.73562231759655)",1165
16,"(553.8999274836839, 493.91805656272663)",1379
17,"(482.54994511525797, 501.2854006586169)",911
18,"(492.3545081967213, 566.1823770491803)",488
19,"(769.1315789473684, 569.7138157894736)",304
20,"(789.314447592068, 586.900849858357)",353
21,"(23.258426966292134, 579.2022471910112)",89
22,"(593.7409012131716, 608.7157712305026)",1154
23,"(725.5092165898618, 608.5921658986175)",434
24,"(55.04081632653061, 618.281179138322)",441
25,"(506.60182370820667, 619.5303951367781)",658
26,"(754.8677685950413, 627.7107438016529)",363
27,"(1012.160696999032, 659.3281703775411)",1033
28,"(93.64717542120911, 666.4965312190287)",1009
29,"(769.16254180602, 721.2876254180602)",1495
30,"(671.6428571428571, 704.0918367346939)",98
31,"(101.2961956521739, 736.375)",736
32,"(858.1294779938587, 759.0655066530195)",1954
33,"(701.7345911949685, 799.5201257861635)",1590
34,"(197.87693127330846, 804.226957911561)",1877
35,"(140.6413881748072, 828.0102827763496)",778
36,"(772.3314669652856, 857.1769316909295)",893
37,"(84.1124694376528, 885.3288508557457)",818
38,"(466.3939207859994, 894.7583665950261)",3257
39,"(217.63934426229508, 880.7868852459017)",61
40,"(853.6409861325116, 899.2018489984591)",649
41,"(678.9707724425888, 920.7640918580375)",479
42,"(607.0338164251208, 947.7729468599034)",414
43,"(32.40234702430847, 974.4350377200335)",1193
44,"(734.5652797704448, 969.883787661406)",697
45,"(852.952, 1014.8266666666667)",375
1,"(74.94209702660407, 11.461658841940531)",639
2,"(4.068965517241379, 20.99310344827586)",145
3,"(143.40090718771808, 67.1238660153524)",2866
4,"(210.69669509594883, 137.5181236673774)",1876
5,"(14.789473684210526, 145.2126745435016)",931
6,"(86.92443463872036, 149.2564809707667)",1813
7,"(583.4472190692395, 263.8694665153235)",1762
8,"(170.08904719501336, 322.72840605520923)",1123
9,"(233.60645933014354, 357.50956937799043)",836
10,"(111.3817097415507, 414.09642147117296)",1006
11,"(620.5055008685582, 427.1910828025478)",1727
12,"(191.9130060292851, 433.0275624461671)",1161
13,"(464.7403017241379, 451.4967672413793)",928
14,"(379.4661654135338, 455.76799140708914)",931
15,"(32.943708609271525, 478.92715231788077)",1208
16,"(555.0069444444445, 492.79027777777776)",1440
17,"(485.6990077177508, 504.7464167585446)",907
18,"(491.1115241635688, 565.6022304832713)",538
19,"(782.4617486338798, 583.2568306010929)",732
20,"(23.669014084507044, 577.9014084507043)",142
21,"(593.9415254237288, 612.7177966101694)",1180
22,"(726.2854030501089, 611.4400871459695)",459
23,"(57.71917808219178, 617.4520547945206)",438
24,"(506.8188622754491, 619.6706586826348)",668
25,"(757.4932249322493, 626.8455284552846)",369
26,"(1013.3764478764479, 651.7181467181467)",1036
27,"(99.80647482014389, 659.9187050359712)",1390
28,"(671.7578947368421, 704.4526315789474)",95
29,"(767.2090112640801, 732.7653316645807)",1598
30,"(101.34404283801874, 735.5823293172691)",747
31,"(859.2774841437632, 754.8837209302326)",1892
32,"(185.72391991570075, 786.9936775553214)",949
33,"(224.14772727272728, 793.875)",528
34,"(705.2190812720848, 799.3987043580684)",1698
35,"(139.6977329974811, 824.9836272040302)",794
36,"(774.2332015810276, 856.4120553359684)",1012
37,"(86.51170960187353, 884.2236533957846)",854
38,"(465.0612423447069, 896.4738990959463)",3429
39,"(216.5, 881.5833333333334)",96
40,"(854.4156804733727, 900.4541420118343)",676
41,"(677.4402852049911, 922.9197860962566)",561
42,"(604.3473684210526, 950.0442105263157)",475
43,"(738.3393351800554, 967.623268698061)",722
44,"(33.74445357436319, 975.721446179129)",1217
45,"(855.0326975476839, 1015.3869209809264)",367
1,"(74.35038759689922, 11.7984496124031)",645
2,"(3.185185185185185, 20.0)",108
3,"(143.62405237767058, 66.44417643004824)",2902
4,"(209.37725533078185, 137.07982504100602)",1829
5,"(15.277955271565496, 143.91054313099042)",939
6,"(87.47714135575407, 148.29952706253283)",1903
7,"(594.1395061728396, 295.5740740740741)",1620
8,"(171.50043821209465, 321.0333041191937)",1141
9,"(233.70857814336074, 356.9588719153937)",851
10,"(110.98924731182795, 413.43499511241447)",1023
11,"(622.9321163719338, 425.9349686252139)",1753
12,"(191.72131147540983, 432.8748921484038)",1159
13,"(465.7145790554415, 450.8439425051335)",974
14,"(378.67902542372883, 454.7669491525424)",944
15,"(32.03715670436188, 480.11389337641356)",1238
16,"(557.0309007232084, 488.92439184746877)",1521
17,"(487.4334511189635, 501.2343934040047)",849
18,"(489.54194630872485, 563.6795302013422)",596
19,"(773.046783625731, 572.9912280701755)",342
20,"(23.166666666666668, 577.859649122807)",228
21,"(795.6979166666666, 597.828125)",384
22,"(594.1052631578947, 616.2541118421053)",1216
23,"(726.8691796008869, 609.7472283813747)",451
24,"(56.90744920993228, 618.1354401805869)",443
25,"(509.06694560669456, 618.7001394700139)",717
26,"(760.959349593496, 627.8130081300814)",369
27,"(1012.6344463971881, 643.5421792618629)",1138
28,"(104.34274193548387, 660.4227150537635)",1488
29,"(671.3873873873874, 703.009009009009)",111
30,"(768.5198577356254, 725.3971547125074)",1687
31,"(104.80729166666667, 731.3841145833334)",768
32,"(857.4007633587786, 749.3315158124318)",1834
33,"(187.15681233933162, 775.8971722365038)",778
34,"(223.46732673267326, 781.5188118811881)",505
35,"(704.7611683848797, 801.5681557846507)",1746
36,"(134.26032540675845, 824.5994993742178)",799
